slide_id,x,y,label,png_path,y_true,y_prob,y_pred,epoch
002,88362,24149,1,results/patches_norm/1/002__x88362__y24149__mpp0.253__r443.png,1,3.796223973040469e-05,0,2
002,89912,24149,1,results/patches_norm/1/002__x89912__y24149__mpp0.253__r443.png,1,0.00010673204087652266,0,2
002,89912,24371,1,results/patches_norm/1/002__x89912__y24371__mpp0.253__r443.png,1,0.00011565966269699857,0,2
002,65112,41200,1,results/patches_norm/1/002__x65112__y41200__mpp0.253__r443.png,1,0.00012680678628385067,0,2
002,88584,23485,1,results/patches_norm/1/002__x88584__y23485__mpp0.253__r443.png,1,0.00013046403182670474,0,2
002,89912,24814,1,results/patches_norm/1/002__x89912__y24814__mpp0.253__r443.png,1,0.0001418399770045653,0,2
002,89912,23928,1,results/patches_norm/1/002__x89912__y23928__mpp0.253__r443.png,1,0.0001884460507426411,0,2
002,90134,24371,1,results/patches_norm/1/002__x90134__y24371__mpp0.253__r443.png,1,0.00020434337784536183,0,2
1039408,144857,19557,1,results/patches_norm/1/1039408__x144857__y19557__mpp0.252__r445.png,1,0.00022467115195468068,0,2
002,88584,24149,1,results/patches_norm/1/002__x88584__y24149__mpp0.253__r443.png,1,0.0002709112304728478,0,2
1039408,143300,18890,1,results/patches_norm/1/1039408__x143300__y18890__mpp0.252__r445.png,1,0.00028360661235637963,0,2
002,89912,24592,1,results/patches_norm/1/002__x89912__y24592__mpp0.253__r443.png,1,0.00030421483097597957,0,2
002,90134,24814,1,results/patches_norm/1/002__x90134__y24814__mpp0.253__r443.png,1,0.0003843021404463798,0,2
002,65112,40978,1,results/patches_norm/1/002__x65112__y40978__mpp0.253__r443.png,1,0.0004110244626644999,0,2
1039408,144857,19779,1,results/patches_norm/1/1039408__x144857__y19779__mpp0.252__r445.png,1,0.00047368748346343637,0,2
1,37264,4831,1,results/patches_norm/1/1__x37264__y4831__mpp0.253__r443.png,1,0.000509908830281347,0,2
002,89691,23928,1,results/patches_norm/1/002__x89691__y23928__mpp0.253__r443.png,1,0.0005173266399651766,0,2
002,88141,24149,1,results/patches_norm/1/002__x88141__y24149__mpp0.253__r443.png,1,0.0005595333641394973,0,2
002,65112,41421,1,results/patches_norm/1/002__x65112__y41421__mpp0.253__r443.png,1,0.0006155504961498082,0,2
002,90134,24592,1,results/patches_norm/1/002__x90134__y24592__mpp0.253__r443.png,1,0.0006950304377824068,0,2
002,88362,23928,1,results/patches_norm/1/002__x88362__y23928__mpp0.253__r443.png,1,0.0007150525343604386,0,2
002,89691,24149,1,results/patches_norm/1/002__x89691__y24149__mpp0.253__r443.png,1,0.0007191690383478999,0,2
002,90134,23928,1,results/patches_norm/1/002__x90134__y23928__mpp0.253__r443.png,1,0.0007719576242379844,0,2
002,65112,40757,1,results/patches_norm/1/002__x65112__y40757__mpp0.253__r443.png,1,0.0007892946014180779,0,2
1039408,144634,19112,1,results/patches_norm/1/1039408__x144634__y19112__mpp0.252__r445.png,1,0.0007904363446868956,0,2
002,88584,23928,1,results/patches_norm/1/002__x88584__y23928__mpp0.253__r443.png,1,0.0008622544119134545,0,2
002,89691,24814,1,results/patches_norm/1/002__x89691__y24814__mpp0.253__r443.png,1,0.0009321217657998204,0,2
002,88805,24149,1,results/patches_norm/1/002__x88805__y24149__mpp0.253__r443.png,1,0.0010490817949175835,0,2
002,65112,40535,1,results/patches_norm/1/002__x65112__y40535__mpp0.253__r443.png,1,0.001144598238170147,0,2
002,90134,24149,1,results/patches_norm/1/002__x90134__y24149__mpp0.253__r443.png,1,0.0012160219484940171,0,2
1039408,143523,19112,1,results/patches_norm/1/1039408__x143523__y19112__mpp0.252__r445.png,1,0.0012594022555276752,0,2
1039408,144857,19334,1,results/patches_norm/1/1039408__x144857__y19334__mpp0.252__r445.png,1,0.0014269406674429774,0,2
002,64891,40978,1,results/patches_norm/1/002__x64891__y40978__mpp0.253__r443.png,1,0.0014935779618099332,0,2
