slide_id,x,y,label,png_path,y_true,y_prob,y_pred,epoch
1039408,132863,48077,0,results/patches_norm/0/1039408__x132863__y48077__mpp0.252__r445.png,0,0.9864770174026489,1,4
2024-04-09 14.23.49,11709,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x11709__y28071__mpp0.230__r486.png,0,0.9763123989105225,1,4
2024-04-09 14.23.49,11466,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x11466__y28071__mpp0.230__r486.png,0,0.9698374271392822,1,4
2024-04-09 14.23.49,11466,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x11466__y27828__mpp0.230__r486.png,0,0.9501248002052307,1,4
2024-04-09 14.23.49,11223,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x11223__y27828__mpp0.230__r486.png,0,0.9092419743537903,1,4
2024-04-09 14.23.49,14624,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x14624__y27828__mpp0.230__r486.png,0,0.8829972147941589,1,4
2024-04-09 14.23.49,51311,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x51311__y26856__mpp0.230__r486.png,0,0.8717919588088989,1,4
2024-04-09 14.23.49,12924,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x12924__y27099__mpp0.230__r486.png,0,0.8690457940101624,1,4
2024-04-09 14.23.49,12924,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x12924__y26856__mpp0.230__r486.png,0,0.8542920351028442,1,4
2024-04-09 14.23.49,10737,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x10737__y27342__mpp0.230__r486.png,0,0.8537529706954956,1,4
2024-04-09 14.23.49,12195,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x12195__y28071__mpp0.230__r486.png,0,0.8162176012992859,1,4
2024-04-09 14.23.49,12924,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x12924__y27828__mpp0.230__r486.png,0,0.7792182564735413,1,4
2024-04-09 14.23.49,12438,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x12438__y27099__mpp0.230__r486.png,0,0.7640525698661804,1,4
2024-04-09 14.23.49,12681,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x12681__y27099__mpp0.230__r486.png,0,0.7608731389045715,1,4
2024-04-09 14.23.49,14624,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x14624__y28071__mpp0.230__r486.png,0,0.7541054487228394,1,4
2024-04-09 14.23.49,12681,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x12681__y27342__mpp0.230__r486.png,0,0.7358722686767578,1,4
2024-04-09 14.23.49,12681,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x12681__y26856__mpp0.230__r486.png,0,0.6855366230010986,1,4
2024-04-09 14.23.49,11952,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x11952__y28071__mpp0.230__r486.png,0,0.6745509505271912,1,4
2024-04-09 14.23.49,11223,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x11223__y28071__mpp0.230__r486.png,0,0.6672142744064331,1,4
2024-04-09 14.23.49,12438,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x12438__y27342__mpp0.230__r486.png,0,0.6370687484741211,1,4
2024-04-09 14.23.49,12195,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x12195__y26856__mpp0.230__r486.png,0,0.628090500831604,1,4
2024-04-09 14.23.49,14381,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y28071__mpp0.230__r486.png,0,0.6270981431007385,1,4
1039408,132863,48300,0,results/patches_norm/0/1039408__x132863__y48300__mpp0.252__r445.png,0,0.6236322522163391,1,4
2024-04-09 14.23.49,14381,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y27099__mpp0.230__r486.png,0,0.6119847893714905,1,4
2024-04-09 14.23.49,10737,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x10737__y27828__mpp0.230__r486.png,0,0.5910505652427673,1,4
2024-04-09 14.23.49,51554,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x51554__y26856__mpp0.230__r486.png,0,0.5593438148498535,1,4
2024-04-09 14.23.49,10737,27585,0,results/patches_norm/0/2024-04-09 14.23.49__x10737__y27585__mpp0.230__r486.png,0,0.5505807995796204,1,4
2024-04-09 14.23.49,14381,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y27342__mpp0.230__r486.png,0,0.5439674258232117,1,4
2024-04-09 14.23.49,10980,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x10980__y27828__mpp0.230__r486.png,0,0.5434773564338684,1,4
2024-04-09 14.23.49,13166,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x13166__y27099__mpp0.230__r486.png,0,0.5295354723930359,1,4
2024-04-09 14.23.49,10980,27585,0,results/patches_norm/0/2024-04-09 14.23.49__x10980__y27585__mpp0.230__r486.png,0,0.5158310532569885,1,4
